Name,TotalApps,TotalAdmit,TotalEnroll,SATPercent,ACTPercent,SAT25,SAT75,ACT25,ACT75,AssocDegree,PercentAdmit,Tuition14,InStateTuition14,OutofStateTuition14,State,Region,Type,Location,UnderGradEnroll,FTUnderGradEnroll,PTUnderGradEnroll,BlackPercent,LatinPercent,WomenPercent,4yrGradRate,5yrGradRate,6yrGradRate,FinAidPercent,AnyFinAidPercent,FedGrantPercent,PellGrantPercent
California State University-Monterey Bay,12562,5577,902,93,40,430,540,18,24,0,44,5963,19210,30370,California,Far West,Public,Midsize Suburb,5306,4954,352,6,40,62,12,32,38,78,60,49,49
California State University-Northridge,29339,13566,4149,91,25,400,510,16,22,0,46,6525,21669,32829,California,Far West,Public,Large City,33771,28200,5571,6,40,55,13,35,46,74,64,59,58
California State University-Sacramento,19702,13728,3151,92,34,410,520,17,22,0,70,6628,23209,34369,California,Far West,Public,Large City,26094,21094,5000,6,26,57,8,30,43,79,65,56,56
California State University-San Bernardino,12239,7137,2448,95,37,390,490,16,20,0,58,6550,20377,31537,California,Far West,Public,Midsize City,16191,14299,1892,7,55,61,9,29,41,85,73,67,67
California State University-San Marcos,10208,6381,1783,96,34,430,530,18,23,0,63,6649,23162,34322,California,Far West,Public,Large Suburb,10738,8852,1886,3,36,60,13,37,48,73,57,45,45
California State University-Stanislaus,5763,4158,1109,86,35,400,510,16,22,0,72,6491,22433,33593,California,Far West,Public,Small Suburb,7754,6547,1207,3,45,64,18,41,52,82,73,60,60
California University of Pennsylvania,3022,2801,1154,97,20,440,530,17,21,54,93,9239,24860,28712,Pennsylvania,Mid East,Public,Small Suburb,6450,5649,801,9,3,52,31,50,53,89,61,39,38
Calumet College of Saint Joseph,545,218,192,46,26,390,460,15,20,20,40,15620,,,Indiana,Great Lakes,Private,Large Suburb,988,580,408,27,31,44,18,27,27,95,89,59,59
Calvin College,4003,2792,1006,30,81,518,650,23,29,0,70,28250,41195,41195,Michigan,Great Lakes,Private,Midsize City,3959,3814,145,3,3,55,57,71,73,100,99,24,24
Campbell University,11714,8180,788,84,43,380,655,17,27,98,70,26240,42580,42580,North Carolina,Southeast,Private,Fringe Town,4465,3537,928,17,6,50,39,46,49,100,100,38,38
Campbellsville University,2649,1813,525,7,93,420,505,18,24,55,68,22196,33628,33628,Kentucky,Southeast,Private,Remote Town,3048,1982,1066,10,1,58,28,41,41,95,94,57,57
Canisius College,4322,3134,682,94,45,480,590,22,27,25,73,33332,48102,48102,New York,Mid East,Private,Large City,3084,2825,259,7,3,50,58,67,67,99,99,37,37
Capital University,3640,2768,691,20,93,470,600,21,27,0,76,31990,44350,44350,Ohio,Great Lakes,Private,Large Suburb,2788,2481,307,9,3,58,52,57,58,100,100,36,36
Cardinal Stritch University,577,486,202,8,89,420,550,20,24,212,84,25450,39369,39369,Wisconsin,Great Lakes,Private,Large Suburb,2693,2520,173,25,8,65,29,29,55,100,100,46,45
Carleton College,7045,1476,527,61,58,660,750,29,33,0,21,46167,60425,60425,Minnesota,Plains,Private,Distant Town,2045,2025,20,3,6,53,90,92,92,77,63,11,11
Carlow University,669,637,206,93,33,435,525,17,23,0,95,25416,38450,38450,Pennsylvania,Mid East,Private,Large City,2100,1079,1021,14,2,82,47,60,62,100,100,57,57
Carnegie Mellon University,18884,4813,1442,90,34,640,740,30,34,0,25,47642,62032,62032,Pennsylvania,Mid East,Private,Large City,5917,5723,194,5,7,42,74,85,88,70,54,13,13
Carroll College,3279,1738,315,64,71,490,620,22,26,4,53,27914,40918,40918,Montana,Rocky Mountains,Private,Remote Town,1431,1349,82,1,4,58,54,67,67,100,99,21,21
Carson-Newman University,3916,2607,481,17,83,445,575,20,26,1,67,23696,34100,34100,Tennessee,Southeast,Private,Small Suburb,1713,1658,55,9,1,55,37,49,50,100,100,51,51
